epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1288.33,1.12853,0.65812,0.89544,0.888,0.84071,0.94924,0.64272,1.07486,0.62326,0.91629,0.0008714,0.0008714,0.0008714
116,1299.28,1.05829,0.64782,0.86951,0.84867,0.89331,0.93656,0.63081,1.01695,0.66042,0.91967,0.0008615,0.0008615,0.0008615
117,1310.5,1.10668,0.65245,0.91025,0.75632,0.88496,0.90466,0.5819,1.18581,0.72231,0.95022,0.0008516,0.0008516,0.0008516
118,1321.41,1.08522,0.66476,0.88772,0.89257,0.8088,0.934,0.61081,1.11032,0.65953,0.9295,0.0008417,0.0008417,0.0008417
119,1332.4,1.10939,0.65511,0.90947,0.89529,0.80531,0.92482,0.63423,1.01961,0.67134,0.90488,0.0008318,0.0008318,0.0008318
120,1343.49,1.03382,0.63035,0.88062,0.88712,0.82301,0.92925,0.65276,1.0373,0.66202,0.91381,0.0008219,0.0008219,0.0008219
121,1355.67,1.087,0.64677,0.8728,0.92494,0.86726,0.95717,0.66043,1.01196,0.62612,0.91955,0.000812,0.000812,0.000812
122,1367.62,1.11322,0.64725,0.88563,0.91121,0.88496,0.94969,0.63292,1.10294,0.63115,0.9303,0.0008021,0.0008021,0.0008021
123,1378.44,1.09664,0.63645,0.88175,0.8962,0.84051,0.94045,0.65017,1.05428,0.64637,0.92816,0.0007922,0.0007922,0.0007922
124,1389.28,1.07777,0.63909,0.8708,0.93465,0.81416,0.9482,0.64711,1.01288,0.63239,0.91795,0.0007823,0.0007823,0.0007823
125,1400.12,1.06569,0.62961,0.86197,0.90178,0.8937,0.95144,0.66348,0.98735,0.60937,0.90014,0.0007724,0.0007724,0.0007724
126,1412.01,1.06316,0.62578,0.87263,0.78858,0.9292,0.94118,0.65839,1.0356,0.62327,0.90117,0.0007625,0.0007625,0.0007625
127,1422.84,1.06094,0.64133,0.88677,0.88075,0.84969,0.93865,0.65508,1.01985,0.63196,0.89342,0.0007526,0.0007526,0.0007526
128,1433.6,1.04193,0.62395,0.86481,0.92881,0.81416,0.93843,0.65837,1.0616,0.6256,0.90519,0.0007427,0.0007427,0.0007427
129,1444.33,1.00545,0.62769,0.86797,0.81342,0.9115,0.94421,0.65842,1.02229,0.64367,0.89453,0.0007328,0.0007328,0.0007328
130,1455.08,1.04579,0.63214,0.86485,0.90214,0.78761,0.93075,0.65022,1.0511,0.64968,0.90939,0.0007229,0.0007229,0.0007229
131,1465.87,1.02357,0.6137,0.89276,0.91109,0.81618,0.93486,0.64435,1.04694,0.641,0.90979,0.000713,0.000713,0.000713
132,1476.91,1.0016,0.59292,0.87573,0.93884,0.79646,0.94307,0.65564,1.03303,0.64715,0.89323,0.0007031,0.0007031,0.0007031
133,1487.78,0.99813,0.61827,0.87996,0.84337,0.85774,0.93787,0.68196,0.99263,0.61775,0.89099,0.0006932,0.0006932,0.0006932
134,1499.85,1.0782,0.62867,0.89465,0.87396,0.84071,0.94274,0.65673,1.06356,0.63402,0.9003,0.0006833,0.0006833,0.0006833
135,1510.85,1.04311,0.62713,0.85704,0.87215,0.90554,0.95122,0.63972,1.06283,0.6234,0.90135,0.0006734,0.0006734,0.0006734
136,1521.69,1.00729,0.6276,0.8632,0.83472,0.89386,0.93331,0.6403,1.04676,0.64593,0.90696,0.0006635,0.0006635,0.0006635
137,1532.51,1.00939,0.59717,0.85783,0.91117,0.83186,0.9458,0.66228,1.02852,0.63033,0.88719,0.0006536,0.0006536,0.0006536
138,1543.32,1.01994,0.6002,0.86333,0.82806,0.9469,0.95374,0.66484,1.02235,0.61505,0.89818,0.0006437,0.0006437,0.0006437
139,1554.24,1.00255,0.58465,0.86452,0.87035,0.89381,0.95806,0.64086,1.09348,0.64463,0.89129,0.0006338,0.0006338,0.0006338
140,1565.06,1.04947,0.61836,0.87047,0.84685,0.92974,0.94558,0.66332,1.03599,0.59616,0.8841,0.0006239,0.0006239,0.0006239
141,1575.95,1.02583,0.6059,0.8642,0.82627,0.88385,0.94768,0.68021,0.95548,0.59152,0.89467,0.000614,0.000614,0.000614
142,1586.79,0.99483,0.59326,0.85848,0.88646,0.89824,0.95549,0.67911,0.99897,0.59199,0.8963,0.0006041,0.0006041,0.0006041
143,1597.78,0.96789,0.61179,0.86628,0.87326,0.85367,0.94395,0.66881,0.97668,0.60213,0.9017,0.0005942,0.0005942,0.0005942
144,1608.68,0.97172,0.58808,0.87017,0.87188,0.85841,0.94437,0.66761,0.9724,0.57847,0.89714,0.0005843,0.0005843,0.0005843
145,1619.68,0.9905,0.58393,0.86113,0.85148,0.91328,0.95056,0.67687,1.04196,0.60317,0.90433,0.0005744,0.0005744,0.0005744
146,1630.59,0.98846,0.60348,0.87797,0.85844,0.86726,0.9392,0.66969,1.01888,0.63985,0.90021,0.0005645,0.0005645,0.0005645
147,1641.45,0.94268,0.56108,0.85171,0.84189,0.89532,0.94231,0.64502,1.08038,0.60339,0.91946,0.0005546,0.0005546,0.0005546
148,1652.29,1.00574,0.58999,0.84875,0.80266,0.9292,0.93528,0.6661,0.98368,0.59774,0.90658,0.0005447,0.0005447,0.0005447
149,1663.15,0.97744,0.57861,0.84867,0.82392,0.9292,0.94086,0.65008,1.04632,0.61175,0.91091,0.0005348,0.0005348,0.0005348
150,1674.14,0.94007,0.56027,0.83681,0.84438,0.9469,0.95029,0.67285,1.00205,0.58662,0.91265,0.0005249,0.0005249,0.0005249
151,1685.13,0.95637,0.59207,0.85406,0.93089,0.83448,0.95869,0.66866,1.00331,0.59108,0.90901,0.000515,0.000515,0.000515
152,1696.2,1.0061,0.59455,0.86085,0.94998,0.84037,0.94441,0.65184,1.0352,0.59738,0.89691,0.0005051,0.0005051,0.0005051
153,1707.3,0.96166,0.57572,0.85241,0.94209,0.86386,0.95552,0.66311,1.03338,0.5928,0.89541,0.0004952,0.0004952,0.0004952
154,1718.23,0.99397,0.59901,0.85258,0.8427,0.9008,0.94842,0.67562,0.95432,0.58367,0.88626,0.0004853,0.0004853,0.0004853
155,1729.07,0.91554,0.55519,0.83184,0.91852,0.79806,0.9425,0.64322,1.0549,0.63819,0.88581,0.0004754,0.0004754,0.0004754
